empno,ename,hiredate,salary,deptno,title
4313,楊明誠,2024-06-04,15000,300,SA_REP
1241,王老五,2024-04-10,90456,100,manager
1378,張曉強,2022-02-17,50100,600,senior engineer
1234,陳大呀,2024-06-21,24125,100,SA_REP
2415,大喊及,2024-03-09,75544,200,engineer
7948,張大媽,2024-01-02,40234,400,manager
7914,宮添榮,2024-04-17,40312,500,engineer
7517,李大明,2024-03-07,78434,500,engineer
1487,你好嗎,2024-06-12,232141,500,manager
2674,柳大千,2024-04-14,35632,600,manager
3425,李大娘,2024-06-10,67435,200,engineer
2543,溫大名,2024-08-23,75600,500,SA_REP
2542,李曉強,2024-06-03,25343,200,manager
1001,李老森,2024-03-09,15983,400,senior engineer
1002,長老千,2024-05-30,58403,300,SA_REP
1995,長僅貓,2024-06-17,24123,500,manager
1234,李老森,2024-06-11,14235,200,senior engineer
1004,今天蓬,2019-06-27,53855,400,SA_REP
1024,李老六,2024-06-03,29454,300,SA_REP
2134,滿天賦,2024-12-12,153421,300,manager
1942,凜小問,2024-06-16,153352,500,senior engineer
1242,老江虎,2024-06-18,2123,400,manager
1834,高宇翔,2024-06-16,35433,500,manager
7432,劉愛慶,2024-06-15,24123,300,senior engineer
8332,張佳麗,2024-06-16,19234,400,manager
8324,伍大慶,2024-06-22,12345,200,engineer
3935,唐玉清,2024-06-22,12351,500,engineer
1233,度安享,2024-06-22,10432,400,manager
2942,溫小四,2024-06-09,24325,400,manager
4231,李曉恩,2024-06-09,24123,300,engineer
5934,盧大偉,2024-03-27,60345,300,SA_REP
5873,闕添財,2024-09-10,24323,400,SA_REP
2314,陳大兵,2024-06-22,24034,200,manager
2042,李大偉,2024-06-11,60353,300,senior engineer
3243,古舉機,2024-06-23,23231,300,manager
2341,秦流感,2024-06-10,34523,100,engineer
2459,伍告龍宮,2024-06-01,53214,600,SA_REP
2412,工老虎,2024-06-01,35324,300,manager
3523,張大牛,2024-06-08,56000,300,manager
4321,李大強,2024-06-18,49321,500,manager
1943,秦爺,2024-06-09,39553,100,SA_REP
7352,東大千,2024-05-30,23412,400,manager
1832,包拯,2024-12-23,63456,200,senior engineer
5323,陳六冰,2024-06-17,34245,400,manager
1943,陳伍冰,2024-06-11,24234,300,SA_REP
2351,超好凱,2024-06-09,23142,300,SA_REP
7443,劉曉同,2024-06-09,56236,600,manager
8344,李彰安,2024-06-10,43253,300,manager
2321,取先民,2024-06-15,23145,200,manager
3221,盧柄慶,2023-03-08,46243,200,manager
8321,張鈺凱,2024-06-11,42524,200,manager
2412,李安邦,2024-06-16,23142,200,manager
8312,允大樹,2024-06-05,31324,100,SA_REP
5324,劉寶慶,2024-06-07,23142,300,manager
4132,李老森,2024-06-15,14234,200,manager
2314,於是輝,2024-06-02,23412,300,engineer
1314,無天兵,2024-06-11,21425,200,manager
3425,五支楊,2024-06-22,34235,400,senior engineer
3425,盧安憨,2024-06-02,35226,200,engineer
2412,張黑賭,2024-06-10,24122,300,SA_REP
1646,吳天心,2024-8-24,56000,300,manager
3253,李春寶,2024-06-10,24123,200,senior engineer
3435,好法喜,2024-01-02,41023,200,senior engineer
